chapter_id,field_path,old_text,new_text,action,pdf_block_id
record/gap,MOCK_EVIDENCES[ev-105].verificationDetail,(기존 값 유지),(기존 값 유지 - page3/page4 블록 중 이 사안과 주제가 일치하는 근거 없음),NOT_IN_PDF,
record/gap,MOCK_EVIDENCES[ev-105].sourceLabel,2020년도 국정감사 시정 및 처리결과 보고서 [MOCK],2020년도 국정감사 시정 및 처리결과 보고서 [UNVERIFIED],REPLACE,N/A (topic mismatch; [MOCK] marker resolved per fallback rule)
cases,EDITORIAL_CASES[case-01].title,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-01].summary,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-01].demandStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-01].answerStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-01].officialOutcome,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-01].journalismCheck,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-01].limitationNote,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-02].title,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-02].summary,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-02].demandStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-02].answerStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-02].officialOutcome,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-02].journalismCheck,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-02].limitationNote,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-03].title,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-03].summary,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-03].demandStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-03].answerStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-03].officialOutcome,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-03].journalismCheck,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-03].limitationNote,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-04].title,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-04].summary,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-04].demandStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-04].answerStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-04].officialOutcome,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-04].journalismCheck,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-04].limitationNote,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-05].title,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-05].summary,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-05].demandStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-05].answerStatement,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-05].officialOutcome,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-05].journalismCheck,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
cases,EDITORIAL_CASES[case-05].limitationNote,(기존 값 유지),"(기존 값 유지 - page6 블록은 잼버리/회피성 답변 사례이며 기존 5개 케이스 주제와 불일치, 임의 대입 회피)",NOT_IN_PDF,
