category,path,include_in_routing_commit,staging_mode,reason,risk
routing-foundation,src/pages/method/MethodPage.tsx,YES,file,"remove embedded gallery",medium
routing-foundation,src/widgets/app-shell/HeaderNav.tsx,YES,file,"Link/NavLink routing",high
routing-foundation,src/widgets/app-shell/FooterRail.tsx,YES,file,"chapter routed state",medium
routing-foundation,src/widgets/app-shell/ProgressTracker.tsx,YES,file,"explicit hash navigation",medium
routing-foundation,src/widgets/evidence-drawer/EvidenceDrawer.tsx,YES,file,"route props and modal ARIA",high
routing-foundation,src/widgets/overlay-root/GlobalOverlayRoot.tsx,YES,file,"route-driven drawer mount",high
routing-foundation,src/widgets/prologue-scene/ChapterPrologue.tsx,YES,file,"routing hooks only",medium
routing-foundation,src/widgets/remains-scene/ChapterRemains.tsx,YES,file,"Method/Data links",low
routing-foundation,src/widgets/evidence-chain-scene/ChapterRecord.tsx,YES,file,"evidence route hook",low
routing-foundation,src/widgets/gap-scene/ChapterGap.tsx,YES,file,"evidence route hook and types",low
routing-foundation,src/widgets/atlas-scene/ChapterAnswersAtlas.tsx,YES,file,"evidence route hook and filter labels only; current shell did not edit",medium
routing-foundation,src/widgets/case-sequence/ChapterCases.tsx,YES,file,"case/evidence route hooks",low
routing-foundation,src/app/router/AppRouter.test.tsx,YES,file,"routing unit coverage",low
routing-foundation,src/app/router/routeConfig.test.ts,YES,file,"route/hash contract",low
routing-foundation,src/shared/ui/overlay/Dialog.test.tsx,YES,file,"modal unit coverage",low
routing-foundation,src/test/setup.ts,YES,file,"jsdom setup",low
routing-foundation,tests/e2e/technical-routing.spec.ts,YES,file,"routing/modal/Axe runtime gate",high
atlas-contract-shell,src/app/router/AppRouter.tsx,NO,hunk,"lazy Atlas import/loading/route belongs to Atlas feature commit",critical
atlas-contract-shell,src/pages/atlas/,NO,directory,"Atlas route composition and error state",high
atlas-contract-shell,src/widgets/atlas-explorer/,NO,directory,"Atlas interaction and SVG shell",high
atlas-contract-shell,src/shared/api/atlas/,NO,directory,"transport loader/schema/repository",high
atlas-contract-shell,src/shared/lib/atlas/,NO,directory,"adapter/query/scale",high
atlas-contract-shell,src/shared/config/atlas/,NO,directory,"encoding/warnings",medium
atlas-contract-shell,src/shared/types/atlas.ts,NO,file,"ViewModel contracts",high
atlas-contract-shell,tests/e2e/atlas-contract-shell.spec.ts,NO,file,"Atlas route/query/fixture/Axe tests",medium
contract-reference,SSOT/P3_0723_CULTURE_UMAP_ATLAS_INTEGRATION_SSOT_v1.0.md,NO,file,"untracked conformed contract reference; not routing implementation",medium
contract-reference,SSOT/P3_0723_CULTURE_UMAP_ATLAS_INTEGRATION_SSOT_v1.0.json,NO,file,"hash lock reference; not routing implementation",medium
historical-output,outputs/technical_routing_gate/,NO,directory,"evidence artifact; exclude from source commit",low
historical-output,outputs/local_frontend_audit/,NO,directory,"historical audit",low
historical-output,outputs/runtime_recovery/,NO,directory,"historical recovery artifacts",low
historical-output,outputs/frontend_ux_ui_current_state_audit/,NO,directory,"concurrent unrelated audit",low
historical-output,outputs/atlas_contract_shell/,NO,directory,"Agent 3 evidence artifact; not routing source",low
unrelated,docs/prompt1.md,NO,file,"unrelated prompt",low
unrelated,outputs/frontend_ux_UI_current_state_audit_placeholder.txt,NO,file,"unrelated placeholder",low
